GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
linkman,org.bremersee.linkman.controller,LanguageController,0,56,0,4,0,14,0,7,0,5
linkman,org.bremersee.linkman.controller,CategoryController,0,35,0,0,0,9,0,7,0,7
linkman,org.bremersee.linkman.controller,LinkController,0,78,0,0,0,16,0,10,0,10
linkman,org.bremersee.linkman.controller,RoleController,0,10,0,0,0,4,0,2,0,2
linkman,org.bremersee.linkman.controller,MenuController,0,33,0,0,0,8,0,3,0,3
linkman,org.bremersee.linkman.controller,GroupController,0,10,0,0,0,4,0,2,0,2
linkman,org.bremersee.linkman.service,CategoryServiceImpl,27,438,6,22,6,93,7,40,1,32
linkman,org.bremersee.linkman.service,KeycloakClientMock,0,53,0,0,0,21,0,3,0,3
linkman,org.bremersee.linkman.service,LinkServiceImpl,29,345,7,9,3,68,10,27,3,26
linkman,org.bremersee.linkman.service,RoleServiceImpl,11,78,5,5,2,16,5,6,0,6
linkman,org.bremersee.linkman.service,GroupServiceImpl,1,43,2,2,0,8,2,4,0,4
linkman,org.bremersee.linkman.service,MenuServiceImpl,12,142,2,2,0,36,4,9,2,9
linkman,org.bremersee.linkman.config,ModelMapperConfiguration.LinkSpecMapperConfiguration,0,136,0,0,0,31,0,15,0,15
linkman,org.bremersee.linkman.config,ModelMapperConfiguration,0,3,0,0,0,1,0,1,0,1
linkman,org.bremersee.linkman.config,GroupmanClientConfiguration,88,26,10,2,25,7,8,3,2,3
linkman,org.bremersee.linkman.config,AclConfiguration,0,5,0,0,0,2,0,2,0,2
linkman,org.bremersee.linkman.config,KeycloakClientConfiguration,40,32,2,2,14,9,2,3,0,3
linkman,org.bremersee.linkman.config,PersistenceConfiguration,0,41,0,0,0,11,0,5,0,5
linkman,org.bremersee.linkman.config,LinkmanProperties.Category,102,18,22,0,2,4,16,4,5,4
linkman,org.bremersee.linkman.config,LinkmanProperties,349,97,78,0,2,19,48,14,9,14
linkman,org.bremersee.linkman.model,LinkSpec,229,512,63,51,2,66,46,53,1,41
linkman,org.bremersee.linkman.model,RoleRepresentation,12,126,7,15,0,11,7,16,0,12
linkman,org.bremersee.linkman.model,GroupRepresentation,12,126,7,15,0,11,7,16,0,12
linkman,org.bremersee.linkman.model,LinkSpec.LinkSpecBuilder,26,91,0,0,0,1,1,14,1,14
linkman,org.bremersee.linkman.model,SelectOption.SelectOptionBuilder,6,21,0,0,0,1,1,4,1,4
linkman,org.bremersee.linkman.model,CategorySpec.CategorySpecBuilder,12,42,0,0,0,1,1,7,1,7
linkman,org.bremersee.linkman.model,CategorySpec,90,261,21,25,1,36,17,33,1,26
linkman,org.bremersee.linkman.model,RoleRepresentation.RoleRepresentationBuilder,6,21,0,0,0,1,1,4,1,4
linkman,org.bremersee.linkman.model,Translation,21,130,7,7,0,25,7,16,1,15
linkman,org.bremersee.linkman.model,SelectOption,12,126,7,15,0,11,7,16,0,12
linkman,org.bremersee.linkman.model,Translation.TranslationBuilder,6,21,0,0,0,1,1,4,1,4
linkman,org.bremersee.linkman.model,GroupRepresentation.GroupRepresentationBuilder,6,21,0,0,0,1,1,4,1,4
linkman,org.bremersee.linkman.model,MenuEntry.MenuEntryBuilder,8,28,0,0,0,1,1,5,1,5
linkman,org.bremersee.linkman.model,Link,46,391,29,45,0,29,27,34,0,24
linkman,org.bremersee.linkman.model,Link.LinkBuilder,18,63,0,0,0,1,1,10,1,10
linkman,org.bremersee.linkman.model,MenuEntry,55,116,12,14,0,13,10,17,1,13
linkman,org.bremersee.linkman.repository,AceEntity,5,224,6,12,1,37,6,18,0,15
linkman,org.bremersee.linkman.repository,CategoryRepositoryImpl,0,162,1,3,0,32,1,11,0,10
linkman,org.bremersee.linkman.repository,AclEntity,24,122,6,14,2,25,8,12,2,8
linkman,org.bremersee.linkman.repository,LinkRepositoryImpl,19,74,2,0,4,14,2,8,1,8
linkman,org.bremersee.linkman.repository,CategoryEntity,5,207,5,17,1,38,5,27,0,21
linkman,org.bremersee.linkman.repository,LinkEntity,1,379,10,30,0,57,10,46,0,36
